,0,1,2,3,4
181,AZ-500,Arizona,arizonabalanceofstate,pinal,2300
182,AZ-500,Arizona,arizonabalanceofstate,santacruz,2300
183,AZ-500,Arizona,arizonabalanceofstate,yavapai,2300
184,AZ-500,Arizona,arizonabalanceofstate,yuma,2300
185,AZ-501,Arizona,pima,pima,2227
186,AZ-501,Arizona,tucson,pima,2227
187,AZ-502,Arizona,maricopa,maricopa,9026
188,AZ-502,Arizona,mesa,maricopa,9026
189,AZ-502,Arizona,phoenix,maricopa,9026
190,CA-500,California,santaclara,santaclara,10028
191,CA-500,California,sanjose,losangeles,10028
192,CA-501,California,sanfrancisco,sanfrancisco,7754
193,CA-502,California,alameda,alameda,9747
194,CA-502,California,berkeley,alameda,9747
195,CA-502,California,oakland,alameda,9747
196,CA-503,California,sacramento,sacramento,9278
197,CA-504,California,sonoma,sonoma,2893
198,CA-504,California,petaluma,sonoma,2893
199,CA-504,California,santarosa,ventura,2893
200,CA-505,California,contracosta,contracosta,3093
201,CA-505,California,richmond,contracosta,3093
202,CA-506,California,sanbenito,sanbenito,2404
203,CA-506,California,monterey,monterey,2404
204,CA-506,California,salinas,monterey,2404
205,CA-507,California,marin,marin,1121
206,CA-508,California,santacruz,santacruz,2299
207,CA-508,California,watsonville,santacruz,2299
208,CA-509,California,mendocino,mendocino,830
209,CA-510,California,stanislaus,stanislaus,1857
210,CA-510,California,modesto,stanislaus,1857
211,CA-510,California,turlock,stanislaus,1857
212,CA-511,California,sanjoaquin,sanjoaquin,2319
213,CA-511,California,stockton,sanjoaquin,2319
214,CA-512,California,sanmateo,sanmateo,1808
215,CA-512,California,daly,sanmateo,1808
216,CA-513,California,tulare,tulare,1235
217,CA-513,California,kings,kings,1235
218,CA-513,California,visalia,tulare,1235
219,CA-514,California,madera,madera,4216
220,CA-514,California,fresno,fresno,4216
221,CA-515,California,placer,placer,750
222,CA-515,California,rocklin,placer,750
223,CA-515,California,roseville,placer,750
224,CA-516,California,sierra,sierra,1837
225,CA-516,California,modoc,modoc,1837
226,CA-516,California,delnorte,delnorte,1837
227,CA-516,California,plumas,plumas,1837
228,CA-516,California,lassen,lassen,1837
229,CA-516,California,redding,shasta,1837
230,CA-517,California,napa,napa,495
231,CA-518,California,solano,solano,1179
232,CA-518,California,vallejo,solano,1179
233,CA-519,California,butte,butte,1006
234,CA-519,California,paradise,butte,1006
235,CA-519,California,chico,butte,1006
236,CA-520,California,merced,merced,855
237,CA-521,California,yolo,yolo,746
238,CA-521,California,woodland,yolo,746
239,CA-521,California,davis,yolo,746
240,CA-522,California,humboldt,humboldt,1648
241,CA-523,California,trinity,trinity,340
242,CA-523,California,colusa,colusa,340
243,CA-524,California,sutter,sutter,1094
244,CA-524,California,yuba,yuba,1094
245,CA-525,California,eldorado,eldorado,511
246,CA-526,California,tuolumne,tuolumne,625
247,CA-526,California,mariposa,mariposa,625
248,CA-526,California,calaveras,calaveras,625
249,CA-526,California,amador,amador,625
250,CA-527,California,tehama,tehama,291
251,CA-529,California,lake,lake,339
252,CA-530,California,mono,mono,140
253,CA-530,California,inyo,inyo,140
254,CA-530,California,alpine,alpine,140
255,CA-531,California,nevada,nevada,527
256,CA-600,California,losangeles,losangeles,65111
257,CA-601,California,sandiego,sandiego,8427
258,CA-602,California,orange,orange,5718
259,CA-602,California,anaheim,orange,5718
260,CA-602,California,santaana,orange,5718
261,CA-603,California,santabarbara,santabarbara,1962
262,CA-603,California,santamaria,santabarbara,1962
263,CA-604,California,kern,kern,1603
264,CA-604,California,bakersfield,kern,1603
265,CA-606,California,long,losangeles,3296
266,CA-607,California,pasadena,losangeles,512
267,CA-608,California,riverside,riverside,3316
268,CA-609,California,sanbernardino,sanbernardino,3333
269,CA-611,California,ventura,ventura,2248
270,CA-611,California,sanbuenaventura,ventura,2248
271,CA-611,California,oxnard,ventura,2248
272,CA-612,California,glendale,losangeles,225
273,CA-613,California,imperial,imperial,1057
274,CA-614,California,sanluisobispo,sanluisobispo,1448
275,CO-500,Colorado,coloradobalanceofstate,adams,1315
276,CO-500,Colorado,coloradobalanceofstate,alamosa,1315
277,CO-500,Colorado,coloradobalanceofstate,arapahoe,1315
278,CO-500,Colorado,coloradobalanceofstate,archuleta,1315
279,CO-500,Colorado,coloradobalanceofstate,baca,1315
280,CO-500,Colorado,coloradobalanceofstate,bent,1315
281,CO-500,Colorado,coloradobalanceofstate,boulder,1315
282,CO-500,Colorado,coloradobalanceofstate,broomfield,1315
283,CO-500,Colorado,coloradobalanceofstate,chaffee,1315
284,CO-500,Colorado,coloradobalanceofstate,cheyenne,1315
285,CO-500,Colorado,coloradobalanceofstate,clearcreek,1315
286,CO-500,Colorado,coloradobalanceofstate,conejos,1315
287,CO-500,Colorado,coloradobalanceofstate,costilla,1315
288,CO-500,Colorado,coloradobalanceofstate,crowley,1315
289,CO-500,Colorado,coloradobalanceofstate,custer,1315
290,CO-500,Colorado,coloradobalanceofstate,delta,1315
291,CO-500,Colorado,coloradobalanceofstate,dolores,1315
292,CO-500,Colorado,coloradobalanceofstate,douglas,1315
293,CO-500,Colorado,coloradobalanceofstate,eagle,1315
294,CO-500,Colorado,coloradobalanceofstate,elbert,1315
295,CO-500,Colorado,coloradobalanceofstate,fremont,1315
296,CO-500,Colorado,coloradobalanceofstate,garfield,1315
297,CO-500,Colorado,coloradobalanceofstate,gilpin,1315
298,CO-500,Colorado,coloradobalanceofstate,grand,1315
299,CO-500,Colorado,coloradobalanceofstate,gunnison,1315
300,CO-500,Colorado,coloradobalanceofstate,hinsdale,1315
301,CO-500,Colorado,coloradobalanceofstate,huerfano,1315
302,CO-500,Colorado,coloradobalanceofstate,jackson,1315
303,CO-500,Colorado,coloradobalanceofstate,jefferson,1315
304,CO-500,Colorado,coloradobalanceofstate,kiowa,1315
305,CO-500,Colorado,coloradobalanceofstate,kitcarson,1315
306,CO-500,Colorado,coloradobalanceofstate,lake,1315
307,CO-500,Colorado,coloradobalanceofstate,laplata,1315
308,CO-500,Colorado,coloradobalanceofstate,lasanimas,1315
309,CO-500,Colorado,coloradobalanceofstate,lincoln,1315
310,CO-500,Colorado,coloradobalanceofstate,logan,1315
311,CO-500,Colorado,coloradobalanceofstate,mesa,1315
312,CO-500,Colorado,coloradobalanceofstate,mineral,1315
313,CO-500,Colorado,coloradobalanceofstate,moffat,1315
314,CO-500,Colorado,coloradobalanceofstate,montezuma,1315
315,CO-500,Colorado,coloradobalanceofstate,montrose,1315
316,CO-500,Colorado,coloradobalanceofstate,morgan,1315
317,CO-500,Colorado,coloradobalanceofstate,otero,1315
