CoC Code,State Name,CoC Name,County Name,Homeless Count,Avg. Rent Price,Poverty Count,Poverty Pct.,Unemployed Count,Unemployed Pct.,Education Count No HS Diploma,Education Count No College
IN-502,Indiana,indianabalanceofstate,montgomery,3688,none,4326,11,533,2,2447,10834
IN-502,Indiana,indianabalanceofstate,morgan,3688,none,7344,10,1165,3,5710,19804
IN-502,Indiana,indianabalanceofstate,newton,3688,none,1622,11,269,4,1211,4532
IN-502,Indiana,indianabalanceofstate,noble,3688,none,4226,9,787,3,5450,12525
IN-502,Indiana,indianabalanceofstate,ohio,3688,none,539,9,88,2,471,1878
IN-502,Indiana,indianabalanceofstate,orange,3688,none,2807,14,388,4,2080,6154
IN-502,Indiana,indianabalanceofstate,owen,3688,none,2395,11,360,3,2161,6718
IN-502,Indiana,indianabalanceofstate,parke,3688,none,2375,16,223,3,1753,4495
IN-502,Indiana,indianabalanceofstate,perry,3688,none,2271,12,302,3,1259,6262
IN-502,Indiana,indianabalanceofstate,pike,3688,none,1349,11,224,3,1020,3910
IN-502,Indiana,indianabalanceofstate,porter,3688,1120.792184,16533,9,3522,4,7058,40921
IN-502,Indiana,indianabalanceofstate,posey,3688,none,2268,9,372,2,1307,6514
IN-502,Indiana,indianabalanceofstate,pulaski,3688,none,1393,11,203,3,1111,3954
IN-502,Indiana,indianabalanceofstate,putnam,3688,none,3858,12,554,3,2663,10075
IN-502,Indiana,indianabalanceofstate,randolph,3688,none,3371,14,387,3,1872,7130
IN-502,Indiana,indianabalanceofstate,ripley,3688,none,2548,8,418,3,1932,8045
IN-502,Indiana,indianabalanceofstate,rush,3688,none,1806,11,270,3,1183,5234
IN-502,Indiana,indianabalanceofstate,st.joseph,3688,none,37269,14,6041,4,15956,52541
IN-502,Indiana,indianabalanceofstate,scott,3688,none,3461,14,450,4,3183,6963
IN-502,Indiana,indianabalanceofstate,shelby,3688,none,4382,9,767,3,3402,13695
IN-502,Indiana,indianabalanceofstate,spencer,3688,none,1582,8,318,3,1217,5842
IN-502,Indiana,indianabalanceofstate,starke,3688,none,3292,14,449,4,2317,7194
IN-502,Indiana,indianabalanceofstate,steuben,3688,none,3237,9,557,2,1809,9389
IN-502,Indiana,indianabalanceofstate,sullivan,3688,none,2998,16,334,4,1879,6349
IN-502,Indiana,indianabalanceofstate,switzerland,3688,none,1345,13,176,3,1015,3461
IN-502,Indiana,indianabalanceofstate,tippecanoe,3688,1077.308033,30391,17,3422,3,7679,27859
IN-502,Indiana,indianabalanceofstate,tipton,3688,none,1366,9,299,3,1033,4454
IN-502,Indiana,indianabalanceofstate,union,3688,none,778,11,91,2,610,2030
IN-502,Indiana,indianabalanceofstate,vanderburgh,3688,781.1079509,24050,13,3666,4,11142,38933
IN-502,Indiana,indianabalanceofstate,vermillion,3688,none,1873,12,289,4,933,4482
IN-502,Indiana,indianabalanceofstate,vigo,3688,771.820152,19709,20,2147,4,7126,23086
IN-502,Indiana,indianabalanceofstate,wabash,3688,none,3253,11,469,3,2154,9037
IN-502,Indiana,indianabalanceofstate,warren,3688,none,743,8,114,2,392,2604
IN-502,Indiana,indianabalanceofstate,warrick,3688,none,4311,6,921,2,2392,12395
IN-502,Indiana,indianabalanceofstate,washington,3688,none,3131,11,466,3,2593,8252
IN-502,Indiana,indianabalanceofstate,wayne,3688,none,10163,15,1164,3,5387,16687
IN-502,Indiana,indianabalanceofstate,wells,3688,none,2108,7,396,2,1292,8158
IN-502,Indiana,indianabalanceofstate,white,3688,none,2426,10,387,2,1840,6745
IN-502,Indiana,indianabalanceofstate,whitley,3688,none,2494,7,514,2,1864,8679
IN-503,Indiana,indianapolis,marion,1761,1142.855155,143143,15,24213,4,83635,175662
KS-502,Kansas,sedgwick,sedgwick,690,923.9372011,68690,13,11813,4,35387,89149
KS-502,Kansas,wichita,wichita,690,none,231,11,23,2,208,490
KS-503,Kansas,shawnee,shawnee,365,840.9017085,25426,14,2910,3,8279,36966
KS-503,Kansas,topeka,shawnee,365,840.9017085,25426,14,2910,3,8279,36966
KS-505,Kansas,johnson,johnson,212,1370.463301,36111,5,9502,2,15307,56510
KS-505,Kansas,shawnee,shawnee,212,840.9017085,25426,14,2910,3,8279,36966
KS-505,Kansas,overlandpark,johnson,212,1370.463301,36111,5,9502,2,15307,56510
KS-507,Kansas,kansasbalanceofstate,allen,929,none,1941,16,204,3,630,3104
KS-507,Kansas,kansasbalanceofstate,anderson,929,none,931,12,119,2,753,1965
KS-507,Kansas,kansasbalanceofstate,atchison,929,none,2211,14,264,3,615,4315
KS-507,Kansas,kansasbalanceofstate,barber,929,none,438,10,46,2,254,1000
KS-507,Kansas,kansasbalanceofstate,barton,929,none,3482,14,399,3,1976,5358
KS-507,Kansas,kansasbalanceofstate,bourbon,929,none,2113,15,247,3,937,2992
KS-507,Kansas,kansasbalanceofstate,brown,929,none,1311,14,142,2,418,2446
KS-507,Kansas,kansasbalanceofstate,butler,929,1007.164331,6309,9,1165,3,2787,11754
KS-507,Kansas,kansasbalanceofstate,chase,929,none,268,10,34,2,118,580
KS-507,Kansas,kansasbalanceofstate,chautauqua,929,none,512,15,59,4,291,814
KS-507,Kansas,kansasbalanceofstate,cherokee,929,none,2808,14,298,3,1569,4311
KS-507,Kansas,kansasbalanceofstate,cheyenne,929,none,355,13,24,1,151,642
KS-507,Kansas,kansasbalanceofstate,clark,929,none,218,11,21,1,80,412
KS-507,Kansas,kansasbalanceofstate,clay,929,none,772,9,101,2,330,2037
KS-507,Kansas,kansasbalanceofstate,cloud,929,none,1127,13,112,2,300,1910
KS-507,Kansas,kansasbalanceofstate,coffey,929,none,760,9,132,3,362,1912
KS-507,Kansas,kansasbalanceofstate,comanche,929,none,160,10,20,2,56,426
KS-507,Kansas,kansasbalanceofstate,cowley,929,none,4534,13,586,3,1856,6851
KS-507,Kansas,kansasbalanceofstate,crawford,929,none,7956,21,616,3,1590,6811
KS-507,Kansas,kansasbalanceofstate,decatur,929,none,327,12,32,2,133,673
KS-507,Kansas,kansasbalanceofstate,dickinson,929,none,1799,9,277,3,865,4101
KS-507,Kansas,kansasbalanceofstate,doniphan,929,none,891,12,117,2,438,1701
KS-507,Kansas,kansasbalanceofstate,douglas,929,1091.164277,17644,15,2081,3,2613,13046
KS-507,Kansas,kansasbalanceofstate,edwards,929,none,334,12,32,2,265,707
KS-507,Kansas,kansasbalanceofstate,elk,929,none,390,16,35,3,227,670
KS-507,Kansas,kansasbalanceofstate,ellis,929,none,3480,12,345,2,1062,4888
KS-507,Kansas,kansasbalanceofstate,ellsworth,929,none,574,10,63,2,385,1595
KS-507,Kansas,kansasbalanceofstate,finney,929,none,4662,12,444,2,6388,5447
KS-507,Kansas,kansasbalanceofstate,ford,929,none,3861,11,391,2,5141,4962
KS-507,Kansas,kansasbalanceofstate,franklin,929,none,2631,10,463,3,1255,6526
KS-507,Kansas,kansasbalanceofstate,geary,929,922.1099482,4356,12,498,4,1216,4880
KS-507,Kansas,kansasbalanceofstate,gove,929,none,264,9,28,1,109,753
KS-507,Kansas,kansasbalanceofstate,graham,929,none,295,12,34,3,110,628
KS-507,Kansas,kansasbalanceofstate,grant,929,none,813,11,93,3,918,1043
KS-507,Kansas,kansasbalanceofstate,gray,929,none,417,7,58,1,787,804
KS-507,Kansas,kansasbalanceofstate,greeley,929,none,122,9,11,1,98,189
KS-507,Kansas,kansasbalanceofstate,greenwood,929,none,894,15,87,2,335,1602
KS-507,Kansas,kansasbalanceofstate,hamilton,929,none,294,11,23,1,306,650
KS-507,Kansas,kansasbalanceofstate,harper,929,none,848,16,75,2,410,1433
KS-507,Kansas,kansasbalanceofstate,harvey,929,none,3123,9,511,3,1881,5233
KS-507,Kansas,kansasbalanceofstate,haskell,929,none,344,9,41,1,666,559
KS-507,Kansas,kansasbalanceofstate,hodgeman,929,none,163,9,19,1,109,310
KS-507,Kansas,kansasbalanceofstate,jackson,929,none,1216,9,195,2,505,3560
KS-507,Kansas,kansasbalanceofstate,jefferson,929,none,1451,8,316,3,667,5079
KS-507,Kansas,kansasbalanceofstate,jewell,929,none,384,13,29,2,158,808
KS-507,Kansas,kansasbalanceofstate,kearny,929,none,394,10,34,1,523,838
KS-507,Kansas,kansasbalanceofstate,kingman,929,none,840,11,102,3,471,1675
KS-507,Kansas,kansasbalanceofstate,kiowa,929,none,257,11,26,2,189,462
